Name,Comp,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Type,MaxSep,RAdeg,DEdeg,rpos,Author,Date,BibCode,Author2,Date2,BibCode2,RApdeg,DEpdeg,RAcdeg,DEcdeg,zsource,zdef,r_zsource,zmilli,f_zmilli,r_zmilli,zqsocdr3,f_zqsocdr3,zSHSRC,f_zSHSRC,r_zSHSRC,inFPR,GLens,CompId,nObsComp,RACodeg,e_RACodeg,DECodeg,e_DECodeg,GmagComp,e_GmagComp,f_GLens,f_CompId,inDR3,GaiaDR3,RAGdeg,e_RAGdeg,DEGdeg,e_DEGdeg,plx,e_plx,Rplx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,E(BP/RP),BP-RP,Gmagc,e_Gmagc,inAllWISE,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
J0525-4153,S,05,25,35.8845,-,41,53,46.230,Double,0.000000,81.39951866853,-41.89617505877,Gaia_DR3,Scialpi,2024,2024A&A...690A..57S,,---,,81.39950000000,-41.89613888889,81.39951866853,-41.89617505877,2.1610,---,2024A&A...690A..57S,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,1,4806652936390037120,81.39951866853,0.2107,-41.89617505877,0.2451,0.5445,0.2466,2.2080,2.488,-2.458,0.287,0.386,0.341,18.173044,0.006017,18.189064,0.014626,17.651756,0.014988,---,0.537308,18.173044,0.006017,0,,---,---,---,---,---,---,---,---
J0526-3933,B,05,26,11.2174,-,39,33,47.127,Double,1.417000,81.54673908120,-39.56309085000,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,81.54700000000,-39.56300000000,81.54696388950,-39.56299746890,2.4100,---,2023MNRAS.520.3305L,2.410,j,LEMON4,---,--,---,,,1,DR3Gaia052611.325-393346.45,1,23,1.42325913718,39.77955,-0.69050619189,63.11896,20.4789,0.12488,0,0,1,4807486091324924288,81.54673887471,0.7428,-39.56308992335,1.7663,-0.6559,1.0444,-0.6280,5.204,-0.768,1.072,-5.147,2.617,20.600727,0.015303,---,---,---,---,---,---,20.600727,0.015303,1,J052611.27-393346.6,15.474,14.743,11.653,8.606,0.035,0.046,0.161,---
J0526-3933,A,05,26,11.3253,-,39,33,46.455,Double,1.417000,81.54718869780,-39.56290408780,Gaia_DR3,Lemon,2023,2023MNRAS.520.3305L,,---,,81.54700000000,-39.56300000000,81.54696388950,-39.56299746890,2.4100,---,2023MNRAS.520.3305L,2.410,j,LEMON4,---,--,---,,,1,DR3Gaia052611.325-393346.45,2,41,1.42326691032,56.81058,-0.69050298141,61.77639,19.9741,0.16233,0,0,1,4807486087029366784,81.54718868200,0.3162,-39.56290404517,0.4238,-0.0768,0.4037,-0.1902,0.569,-0.442,0.392,-0.358,0.546,19.962059,0.007846,19.812850,0.072495,19.081070,0.066798,1.780,0.731781,19.965782,0.007869,0,,---,---,---,---,---,---,---,---
DESJ0530-3730,B,05,30,36.9541,-,37,30,11.092,Quad,1.066000,82.65397553702,-37.50308115182,Gaia_DR3,Schmidt,2023,2023MNRAS.518.1260S,,---,,82.65397238000,-37.50308060000,82.65411301209,-37.50302863238,2.8380,---,2023MNRAS.518.1260S,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,1,4821279499055314304,82.65397553702,0.8022,-37.50308115182,1.0286,---,---,---,---,---,---,---,---,18.164701,0.006451,---,---,---,---,---,---,18.164701,0.006451,0,,---,---,---,---,---,---,---,---
DESJ0530-3730,C,05,30,36.9736,-,37,30,10.610,Quad,1.066000,82.65405676000,-37.50294726000,HST,Schmidt,2023,2023MNRAS.518.1260S,,---,,82.65405676000,-37.50294726000,82.65411301209,-37.50302863238,2.8380,---,2023MNRAS.518.1260S,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
DESJ0530-3730,D,05,30,36.9841,-,37,30,10.542,Quad,1.066000,82.65410052959,-37.50292837584,Gaia_DR3,Schmidt,2023,2023MNRAS.518.1260S,,---,,82.65410053000,-37.50292838000,82.65411301209,-37.50302863238,2.8380,---,2023MNRAS.518.1260S,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,1,4821279499056544128,82.65410052959,0.5416,-37.50292837584,0.5750,-0.8790,0.6681,-1.3158,1.124,-0.437,0.667,-1.035,0.721,17.328640,0.010203,17.216831,0.018404,16.228977,0.013050,---,0.987854,17.328640,0.010203,0,,---,---,---,---,---,---,---,---
DESJ0530-3730,G,05,30,37.0130,-,37,30,11.178,Quad,1.066000,82.65422063000,-37.50310504000,HST,Schmidt,2023,2023MNRAS.518.1260S,,---,,82.65422063000,-37.50310504000,82.65411301209,-37.50302863238,---,---,,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,,---,---,---,---,---,---,---,---
DESJ0530-3730,A,05,30,37.0366,-,37,30,11.368,Quad,1.066000,82.65431922173,-37.50315774186,Gaia_DR3,Schmidt,2023,2023MNRAS.518.1260S,,---,,82.65431587000,-37.50315838000,82.65411301209,-37.50302863238,2.8380,---,2023MNRAS.518.1260S,---,,,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,1,4821279499055314432,82.65431922173,1.0572,-37.50315774186,1.4100,---,---,---,---,---,---,---,---,20.321594,0.011549,---,---,---,---,---,---,20.321594,0.011549,0,,---,---,---,---,---,---,---,---
COOLJ0542-2125,B,05,42,57.2365,-,21,25,33.686,Quad,25.971001,85.73848525150,-21.42602385640,Gaia_DR3,Martinez,2023,2023ApJ...946...63M,,---,,85.73850000000,-21.42600000000,85.73986368553,-21.42822430553,1.8383,---,2023ApJ...946...63M,1.838,n,COOLL,1.286412,16,---,,,0,,,---,---,---,---,---,---,---,,--,1,2964388321782713856,85.73848537594,0.4329,-21.42602411551,1.0203,0.5097,1.0135,0.5029,1.461,0.656,0.474,1.305,1.099,20.710585,0.007826,20.769081,0.100664,20.326904,0.121248,1.287,0.442177,20.712583,0.007838,0,,---,---,---,---,---,---,---,---
COOLJ0542-2125,A,05,42,57.4094,-,21,25,34.137,Quad,25.971001,85.73920580510,-21.42614906020,Gaia_DR3,Martinez,2023,2023ApJ...946...63M,,---,,85.73920000000,-21.42610000000,85.73986368553,-21.42822430553,1.8383,0.6100,2023ApJ...946...63M,1.838,n,COOLL,---,--,---,,,0,,,---,---,---,---,---,---,---,,--,1,2964388317487560960,85.73920595316,0.3492,-21.42614916895,0.9597,-0.7530,1.0598,-0.7106,1.555,0.280,0.430,1.530,1.158,20.684721,0.007315,20.853283,0.110141,20.438532,0.092212,1.149,0.414751,20.686429,0.007325,0,,---,---,---,---,---,---,---,---
